source,target,code,order,notes
/news/features/2012/feature171011a,https://www.gov.uk/government/news/probation-service-wins-excellence-award,301,810,News redirect
/news/features/2012/feature190511a,https://www.gov.uk/government/news/question-time-broadcast-from-wormwood-scrubs-prison,301,810,News redirect
/news/features/2012/feature190711a,https://www.gov.uk/government/news/consultation-on-secure-estate-for-young-offenders,301,810,News redirect
/news/features/2012/feature191011a,https://www.gov.uk/government/news/ken-clarke-courts-to-see-sensitive-intelligence,301,810,News redirect
/news/features/2012/feature200411a,https://www.gov.uk/government/news/national-archives-to-lead-uks-archive-sector,301,810,News redirect
/news/features/2012/feature200511a,https://www.gov.uk/government/news/plans-to-get-prisoners-into-jobs-and-away-from-crime,301,810,News redirect
/news/features/2012/feature201211a,https://www.gov.uk/government/news/unusual-discovery-at-the-national-archives,301,810,News redirect
/news/features/2012/feature211011a,https://www.gov.uk/government/news/minister-on-future-of-freedom-of-information,301,810,News redirect
/news/features/2012/feature211111a,https://www.gov.uk/government/news/a-step-towards-justice-for-road-crash-victims,301,810,News redirect
/news/features/2012/feature211211a,https://www.gov.uk/government/news/offenders-cook-festive-feast-for-the-elderly,301,810,News redirect
/news/features/2012/feature220611a,https://www.gov.uk/government/news/government-launches-drug-recovery-wings-to-help-cut-reoffending,301,810,News redirect
/news/features/2012/feature220711a,https://www.gov.uk/government/news/young-offenders-garden-scoops-prize-at-hampton-court-flower-show,301,810,News redirect
/news/features/2012/feature230112,https://www.gov.uk/government/news/ken-clarke-use-mediation-over-courts,301,810,News redirect
/news/features/2012/feature230611a,https://www.gov.uk/government/news/new-government-files-released,301,810,News redirect
/news/features/2012/feature230611b,https://www.gov.uk/government/news/government-supports-more-efficient-dispute-resolution,301,810,News redirect
/news/features/2012/feature240112a,https://www.gov.uk/government/news/new-funding-to-tackle-female-offending,301,810,News redirect
/news/features/2012/feature240811a,https://www.gov.uk/government/news/community-payback-goes-full-time,301,810,News redirect
/news/features/2012/feature241111,https://www.gov.uk/government/news/prison-officer-named-guardian-public-servant-of-the-year,301,810,News redirect
/news/features/2012/feature250112a,https://www.gov.uk/government/news/minister-announces-cutting-edge-probation-pilots,301,810,News redirect
/news/features/2012/feature251111,https://www.gov.uk/government/news/minister-praises-payment-by-results,301,810,News redirect
/news/features/2012/feature260511a,https://www.gov.uk/government/news/new-criminal-justice-stats-underline-need-to-tackle-reoffending,301,810,News redirect
/news/features/2012/feature260511b,https://www.gov.uk/government/news/kenneth-clarke-warns-on-eu-data-protection-rules,301,810,News redirect
/news/features/2012/feature260811b,https://www.gov.uk/government/news/crime-victims-in-europe-to-get-extra-protection,301,810,News redirect
/news/features/2012/feature260911a,https://www.gov.uk/government/news/ministry-of-justice-publishes-second-statement-of-new-regulation,301,810,News redirect
/news/features/2012/feature260911b,https://www.gov.uk/government/news/prisoner-wages-to-fund-victims-services,301,810,News redirect
/news/features/2012/feature261011a,https://www.gov.uk/government/news/clarke-radical-reforms-will-ensure-people-are-protected,301,810,News redirect
/news/features/2012/feature270112a,https://www.gov.uk/government/news/lord-mcnally-protecting-our-data-in-the-21st-century,301,810,News redirect
/news/features/2012/feature270711a,https://www.gov.uk/government/news/restorative-justice-helps-repair-harm,301,810,News redirect
/news/features/2012/feature270911a,https://www.gov.uk/government/news/a-new-era-in-uk-india-trade-relations,301,810,News redirect
/news/features/2012/feature280611a,https://www.gov.uk/government/news/minister-explains-no-win-no-fee-reforms,301,810,News redirect
/news/features/2012/feature281011a,https://www.gov.uk/government/news/mcnally-strong-legal-services-will-boost-uk-growth,301,810,News redirect
/news/features/2012/feature281111,https://www.gov.uk/government/news/virtual-courts-brings-swifter-justice,301,810,News redirect
/news/features/2012/feature290611b,https://www.gov.uk/government/news/government-to-close-squatters-legal-aid-loophole,301,810,News redirect
/news/features/2012/feature290911a,https://www.gov.uk/government/news/new-civil-mediation-online-directory,301,810,News redirect
/news/features/2012/feature291111a,https://www.gov.uk/government/news/international-bar-association-interview-with-kenneth-clarke,301,810,News redirect
/news/features/2012/feature291111b,https://www.gov.uk/government/news/flying-the-flag-for-uk-legal-services,301,810,News redirect
/news/features/2012/feature300112a,https://www.gov.uk/government/news/ken-clarke-50m-for-victims-services,301,810,News redirect
/news/features/2012/feature300811a,https://www.gov.uk/government/news/new-prison-escort-contracts-to-save-250m,301,810,News redirect
/news/features/2012/feature301111,https://www.gov.uk/government/news/offender-scoops-award-for-helping-prison-dads,301,810,News redirect
/news/features/2012/feature301211a,https://www.gov.uk/government/news/national-archives-release-records-from-1981,301,810,News redirect
/news/features/2012/feature310511a,https://www.gov.uk/government/news/rolls-building-set-to-open,301,810,News redirect
/news/features/2012/feature-06-09-11,https://www.gov.uk/government/news/minister-coroner-reforms-will-put-needs-of-bereaved-first,301,810,News redirect
/news/features/2012/feature-080911,https://www.gov.uk/government/news/orchestra-helps-prisoners-make-a-bigger-sound,301,810,News redirect
/news/features/2012/feature-090911a,https://www.gov.uk/government/news/minister-announces-referral-fee-ban,301,810,News redirect
/news/features/2012/feature-120811-a,https://www.gov.uk/government/news/offenders-clean-up-after-riots,301,810,News redirect
/news/features/2012/feature-140111,https://www.gov.uk/government/news/wwii-pillbox-cleared-by-offenders,301,810,News redirect
/news/features/2012/feature-140911a,https://www.gov.uk/government/news/kenneth-clarke-i-will-promote-uk-legal-services,301,810,News redirect
/news/features/2012/feature-160311,https://www.gov.uk/government/news/koestler-prisoner-art-awards,301,810,News redirect
/news/features/2012/feature-290711,https://www.gov.uk/government/news/rise-in-number-of-rogue-firms-shut-down,301,810,News redirect
/news/features/2012/features271011a,https://www.gov.uk/government/news/clarke-announces-new-sentences-to-restore-clarity-and-common-sense,301,810,News redirect
/news/features/2012/features-010311a,https://www.gov.uk/government/news/rehabilitation-through-prison-rugby,301,810,News redirect
/news/features/2012/features-020211a,https://www.gov.uk/government/news/doctors-surgery-becomes-legal-advice-centre,301,810,News redirect
/news/features/2012/features-030211a,https://www.gov.uk/government/news/modular-courts-piloted-to-meet-soaring-workloads,301,810,News redirect
/news/features/2012/features-030311a,https://www.gov.uk/government/news/payment-by-results-in-the-justice-system,301,810,News redirect
/news/features/2012/features-040111a,https://www.gov.uk/government/news/family-mediation-an-alternative-to-courts,301,810,News redirect
/news/features/2012/features-06-09-11-b,https://www.gov.uk/government/news/help-shape-the-future-of-public-services,301,810,News redirect
/news/features/2012/features-060111a,https://www.gov.uk/government/news/new-year-honours-for-justice-staff,301,810,News redirect
/news/features/2012/features-080211a,https://www.gov.uk/government/news/reduce-youth-crime-through-early-intervention,301,810,News redirect
/news/features/2012/features-090311b,https://www.gov.uk/government/news/kenneth-clarke-sees-projects-that-cut-reoffending,301,810,News redirect
/news/features/2012/features-090311c,https://www.gov.uk/government/news/support-centres-for-rape-victims,301,810,News redirect
/news/features/2012/features-12-09-11a,https://www.gov.uk/government/news/minister-seeks-legal-industry-views-on-growth,301,810,News redirect
/news/features/2012/features-13-09-11a,https://www.gov.uk/government/news/restorative-justice-register-launched,301,810,News redirect
/news/features/2012/features-110111a,https://www.gov.uk/government/news/probation-officer-makes-a-difference,301,810,News redirect
/news/features/2012/features-110211a,https://www.gov.uk/government/news/national-archives-releases-rare-photos-online,301,810,News redirect
/news/features/2012/features-110811,https://www.gov.uk/government/news/riots-minister-praises-work-to-fast-track-court-cases,301,810,News redirect
/news/features/2012/features-140911b,https://www.gov.uk/government/news/minister-we-will-bring-justice-into-the-21st-century,301,810,News redirect
/news/features/2012/features-150311a,https://www.gov.uk/government/news/crispin-blunt-praises-payback-scheme,301,810,News redirect
/news/features/2012/features-150911a,https://www.gov.uk/government/news/statistics-on-public-disorder-published,301,810,News redirect
/news/features/2012/features-170211a,https://www.gov.uk/government/news/community-payback-supervisor-scoops-award,301,810,News redirect
/news/features/2012/features-180111a,https://www.gov.uk/government/news/timpson-works-with-prisons-to-turn-around-lives,301,810,News redirect
/news/features/2012/features-180211a,https://www.gov.uk/government/news/crispin-blunt-visits-construction-rehabilitation-project,301,810,News redirect
/news/features/2012/features-210311a,https://www.gov.uk/government/news/clinical-director-wins-top-butler-trust-award,301,810,News redirect
/news/features/2012/features-210911a,https://www.gov.uk/government/news/rehabilitation-through-art,301,810,News redirect
/news/features/2012/features-220211,https://www.gov.uk/government/news/a-vision-for-restorative-justice,301,810,News redirect
/news/features/2012/features-230311,https://www.gov.uk/government/news/gang-research-published,301,810,News redirect
