source,target,code,order,notes
"/courts/rcj-rolls-building/admiralty-commercial-mercantile-courts/*","https://aka.justice.gov.uk/courts/rcj-rolls-building/admiralty-commercial-mercantile-courts/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/admiralitycomm/","https://aka.justice.gov.uk/downloads/courts/admiralitycomm/",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/admiralitycomm//*","https://aka.justice.gov.uk/downloads/courts/admiralitycomm//*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/admirality-commercial-mercantile-courts","https://aka.justice.gov.uk/courts/admirality-commercial-mercantile-courts",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/admirality-commercial-mercantile-courts/*","https://aka.justice.gov.uk/courts/admirality-commercial-mercantile-courts/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/mercantile-court","https://aka.justice.gov.uk/courts/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/mercantile-court/*","https://aka.justice.gov.uk/courts/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/rcj-rolls-building/mercantile-court","https://aka.justice.gov.uk/courts/rcj-rolls-building/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/courts/rcj-rolls-building/mercantile-court/*","https://aka.justice.gov.uk/courts/rcj-rolls-building/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/administrative-court/mercantile-court","https://aka.justice.gov.uk/downloads/courts/administrative-court/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/administrative-court/mercantile-court/*","https://aka.justice.gov.uk/downloads/courts/administrative-court/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/mercantile-court","https://aka.justice.gov.uk/downloads/courts/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/mercantile-court/*","https://aka.justice.gov.uk/downloads/courts/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/guidance/courts-and-tribunals/courts/administrative-court/mercantile-court","https://aka.justice.gov.uk/downloads/guidance/courts-and-tribunals/courts/administrative-court/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/guidance/courts-and-tribunals/courts/administrative-court/mercantile-court/*","https://aka.justice.gov.uk/downloads/guidance/courts-and-tribunals/courts/administrative-court/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/guidance/courts-and-tribunals/courts/mercantile-court","https://aka.justice.gov.uk/downloads/guidance/courts-and-tribunals/courts/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/guidance/courts-and-tribunals/courts/mercantile-court/*","https://aka.justice.gov.uk/downloads/guidance/courts-and-tribunals/courts/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/guidance/courts-and-tribunals/courts/admirality-commercial-mercantile-courts","https://aka.justice.gov.uk/guidance/courts-and-tribunals/courts/admirality-commercial-mercantile-courts",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/guidance/courts-and-tribunals/courts/admirality-commercial-mercantile-courts/*","https://aka.justice.gov.uk/guidance/courts-and-tribunals/courts/admirality-commercial-mercantile-courts/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/guidance/courts-and-tribunals/courts/mercantile-court","https://aka.justice.gov.uk/guidance/courts-and-tribunals/courts/mercantile-court",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/guidance/courts-and-tribunals/courts/mercantile-court/*","https://aka.justice.gov.uk/guidance/courts-and-tribunals/courts/mercantile-court/*",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
"/downloads/courts/general-docs/patents_court_guide.pdf","https://aka.justice.gov.uk/downloads/courts/general-docs/patents_court_guide.pdf",301,920,"Legacy: admiralty,commercial,mercantile,fees,patents 113832"
